Question,Gold Answer
מהי מטרת תוכנית הלימודים בהנדסת נתונים והחלטות?,"להכשיר מהנדסים לשימוש בשיטות מחשוביות וסטטיסטיות לאיסוף נתונים, ניתוחם, הצגתם ויישומם בקבלת החלטות בתחומי תעשייה, כלכלה, בריאות, משחקים, פסיכולוגיה ועוד."
אילו כלים משלבים הלימודים בתוכנית?,"מודלים וכלים סטטיסטיים ואנליטיים, בניית מודלים, עיבוד נתונים בכמויות גדולות, וכלי חישוב מתקדמים."
מהם תחומי היישום המודגשים במסמך?,"כלכלה, מסחר אלקטרוני, הנדסה תעשייתית, פסיכולוגיה, חקר ביצועים, מערכות מידע, וחיישנים (אירועים) במדעי הנתונים."
כמה נקודות זכות נדרשות להשלמת התואר?,155 נקודות זכות.
"כמה נק""ז בחובה יש ב'קורס חובה'?","111.0 נק""ז."
"כמה נק""ז 'בחירה בהנדסת נתונים והחלטות' צריך להשלים?","21.5 נק""ז."
"כמה נק""ז 'בחירה פקולטאית' צריך להשלים?","10.5 נק""ז."
"כמה נק""ז 'בחירה כלל‑טכניונית' צריך להשלים?","12.0 נק""ז."
"כמה נק""ז חופשיים ('בחירה חופשית') נדרשים?","4 נק""ז."
"כמה נק""ז 'חינוך גופני' נדרשים?","2 נק""ז."
מהי מדיניות הבחירה החופשית לסטודנט?,"מותר ללמוד קורס מכל הפקולטות, כולל אמנויות, הומניסטיקה, ספורט וקורסים נוספים לפי הנהלים."
"מהן נקודות ההרשאה (העשרה) בתוכנית וכמה נק""ז נדרשים?","קבוצת קורסי העשרה מתוך תוכנית ההעשרה של הטכניון; נדרשים 6 נק""ז, כאשר קורס מזכה ב‑2 נק""ז; מפורסמים כל סמסטר."
איזה קורס חובה מסומן ללמוד באחד משני הסמסטרים הראשונים (מסומן **)?,"קורס 'אנגלית מתקדמים ב' (קוד 3240033) בהיקף 3 נק""ז."
איזה קורס מסומן ללמוד בסמסטר 2 כחובה?,"מבוא להנדסת תוכנה (0940219), ארגון מחשבים ומערכות הפעלה (0940210), סטטיסטיקה 1 (0940424), פיזיקה 1 (1140051), וחשבונאות פיננסית מ2 (1040032) בהתאם לחלוקה במסמך."
איזה קורסים לדוגמה מופיעים בסמסטר 3?,"אלגוריתמים ומבני נתונים (0940224), ניהול מסדי נתונים (0940241), סטטיסטיקה 1 (0940424), שיטות הסתברות בהנדסת נתונים (0950296), תורת המשחקים והתנהגות כלכלית (0960570), וקורס יע""ד 3 נק""ז."
מה כוללת רשימת 'קורסי בחירה בהנדסת נתונים והחלטות' לדוגמה?,"קורסים כגון 'נושאים נבחרים בהנדסת נתונים והחלטות', 'פרויקט נתב""ש בתכנות', 'כלים מתמטיים למדעי הנתונים', 'שיטות אופטימיזציה בתנאי אי-ודאות', 'מודלים סטוכסטיים לחקר ביצועים', 'למידה חישובית' ועוד."
איזה קורסים לדוגמה מופיעים ברשימת הבחירה הפקולטאית?,"קורסים שמספרם מתחיל ב‑094, 095, 096 או 097, וכן קורסים ממכון טכניון למדעי המחשב או מהפקולטה למדעי הנתונים והחלטות לפי הרשימות המצוינות."
מהו 'המגמה במדע הקוגניציה' המתוארת במסמך?,"מגמה בין-תחומית המדגישה מודלים חישוביים בתהליכים קוגניטיביים, קבלת החלטות, בינה מלאכותית (AI), חינוך וטכנולוגיה, ומאפשרת פרויקט מחקר במדע הקוגניציה כחלק מהלימודים."
מה תנאי הקבלה למגמת מדע הקוגניציה?,"מבוססים על שילוב סכם, ראיון אישי וחוזה; ניתן להצטרף עד סוף שנה א' ובמהלך הלימודים."
מהן הדרישות במגמה (חובות)?,"צבור 30 נק""ז מקורסי חובה/בסיס ומתקדמים, כולל סמינר במדע הקוגניציה (0940600) וקורסי בסיס ייעודיים."
מי ראש המרכז האקדמי למגמה במדע הקוגניציה?,"ד""ר יבגני קזרב (קזרב ינגבי)."
מה מודגש בתכנית המשנה בכלכלה ('כלכלה – תכנית משנה')?,"לימודי תיאוריה ופרקטיקה כלכלית, דגש על קבלת החלטות כלכליות, אסטרטגיה, שווקים ותחרות, מימון וניהול פיננסי."
מה תנאי הקבלה לתכנית המשנה בכלכלה?,"להשלים בהצלחה לפחות 36 נק""ז בקורסים ולהציג ממוצע ציונים מעל 80; ניתן לבקש שקלול זכאות לפי נהלי הפקולטה."
אילו קורסי יסוד או חובה נדרשים למינור בכלכלה?,"קורסים כגון 'כלכלה מיקרו 1', 'כלכלה מיקרו 2', 'כלכלה מאקרו', 'מבוא לכלכלת מהנדסים' או מקבילותיהם, ו'התנהגות כלכלית ותורת המשחקים'."
כיצד מתקבלת התעודה על השלמת תכנית המשנה בכלכלה?,לאחר השלמת הדרישות ואישור דיקן לימודי הסמכה של הפקולטה.
מהם קורסי הפרויקט בשנים מתקדמות במסלול הראשי?,"מעבדה/פרויקט באיסוף נתונים (0940290), פרויקט בניתוח והצגת נתונים (0940295), וכן קורסי פרויקט נוספים לפי הרשימות."
איזו דוגמה לקישור חיצוני לקורס מופיעה במסמך?,למשל: graduate.technion.ac.il/Subjects.Heb/?SUB=096275 (מתודולוגיות מחקר בעיבוד שפה טבעית).
